ResponseDate,CompletionDate,Q1_PropertyType,Q2_LastContact,Q3_RateQuality_City staff treated me fairly and with respect.,Q3_RateQuality_City staff were knowledgeable.,Q3_RateQuality_City staff went the extra mile to make sure I got what I needed.,Q3_RateQuality_I received a response to my inquiry in a timely manner.,Q3_RateQuality_The response I received provided me with the information I required.,"Q3_RateQuality_Overall, I was satisfied with the quality of customer service I received.",Q4a_Experience,OSType,DeviceType,BrowserType,Q3_Own_Rent (Study: Profiling Questionnaire 2014),GENDER (Study: Profiling Questionnaire 2014),Q7_Children (Study: Profiling Questionnaire 2014),Q8_Born_Canada (Study: Profiling Questionnaire 2014),Q9a_Edmonton (Study: Profiling Questionnaire 2014),Q10_Own_Business (Study: Profiling Questionnaire 2014),Q11_Home_Language (Study: Profiling Questionnaire 2014),Q12_Employment_Status (Study: Profiling Questionnaire 2014),Q13_Volunteer (Study: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Study: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Study: Profiling Questionnaire 2014),Q15_Household_Income (Study: Profiling Questionnaire 2014),Q16_Education (Study: Profiling Questionnaire 2014),Q17_City_Employee (Study: Profiling Questionnaire 2014),FSA (Study: Profiling Questionnaire 2014),Age_Rollup_Detailed (Study: Profiling Questionnaire 2014)
02/11/2015 11:50:00 AM,02/11/2015 12:03:00 PM,Residential property,Within the last 3 months,3 Neither,4 Somewhat Agree,2 Somewhat Disagree,2 Somewhat Disagree,3 Neither,3 Neither,Don't know,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Only have one mode of transportation,"$50,000 to $59,999",Post-graduate degree,No,T6A,80 and over
02/16/2015 06:03:00 PM,02/16/2015 06:13:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Firefox,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",Post-graduate degree,No,T5T,60-64
02/10/2015 07:44:00 PM,02/10/2015 07:57:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Android,Phone,Android,Own,Male,Yes,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$50,000 to $59,999",University undergraduate degree,No,T6W,30-34
02/17/2015 11:30:00 AM,02/17/2015 11:51:00 AM,Residential property,Within the last year,5 Strongly Agree,5 Strongly Agree,3 Neither,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,Positive,Windows,Desktop,Firefox,Own,Male,No,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,Prefer not to answer,Post-graduate degree,No,T6J,35-39
02/11/2015 10:12:00 AM,02/11/2015 10:42:00 AM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Between 3 to 5 years,No,English,Employed full-time (30+ hours a week),No,Bicycle,Walk,"$60,000 to $79,999",University undergraduate degree,Yes,T5J,35-39
02/13/2015 09:39:00 PM,02/13/2015 09:47:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",University undergraduate degree,No,T6A,55-59
02/11/2015 07:40:00 AM,02/11/2015 07:48:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Only have one mode of transportation,"$20,000 to $29,999",University undergraduate degree,No,T5T,70-74
02/10/2015 04:35:00 PM,02/10/2015 04:40:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over",University undergraduate degree,No,T6H,30-34
02/10/2015 11:17:00 AM,02/10/2015 11:27:00 AM,Residential property,Within the last year,5 Strongly Agree,5 Strongly Agree,4 Somewhat Agree,5 Strongly Agree,5 Strongly Agree,4 Somewhat Agree,Positive,Mac (OS X),Desktop,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Other (Specify),"$150,000 and over",College / technical school graduate,No,T6A,55-59
02/13/2015 03:48:00 PM,02/13/2015 03:58:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$80,000 to $99,999",University undergraduate degree,No,T6L,60-64
02/10/2015 04:05:00 PM,02/10/2015 04:20:00 PM,Residential property,I don't recall,,,,,,,,Windows,Desktop,Internet Explorer,Own,Female,No,Yes,Greater than 5 years,Yes,English,Other (Specify),Yes,Public Transit,Car/truck/Van as DRIVER,"$100,000 to $149,000",Post-graduate degree,No,T6G,60-64
02/13/2015 04:21:00 PM,02/13/2015 04:30:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",University undergraduate degree,No,T5R,60-64
02/10/2015 09:00:00 PM,02/10/2015 09:06:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,No,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",Post-graduate degree,No,T6A,70-74
02/17/2015 09:10:00 AM,02/17/2015 09:16:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Walk,"$150,000 and over",University undergraduate degree,No,T6J,45-49
02/16/2015 09:34:00 AM,02/16/2015 10:01:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,No,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Public Transit,"$80,000 to $99,999",University undergraduate degree,No,T5R,60-64
02/11/2015 07:15:00 AM,02/11/2015 08:37:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$100,000 to $149,000",University undergraduate degree,No,T5H,60-64
02/12/2015 07:21:00 AM,02/12/2015 07:30:00 AM,I don’t own property,,,,,,,,,Unknown,Phone,Unknown,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Walk,"$50,000 to $59,999",High school graduate,No,T6K,30-34
02/17/2015 12:33:00 PM,02/17/2015 12:42:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,Prefer not to answer,Post-graduate degree,No,T5A,40-44
02/15/2015 09:33:00 AM,02/15/2015 09:47:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Walk,"$30,000 to $39,999",College / technical school graduate,No,T5N,65-69
02/16/2015 12:40:00 PM,02/16/2015 12:48:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$60,000 to $79,999",College / technical school graduate,No,T6V,55-59
02/10/2015 04:15:00 PM,02/10/2015 04:22:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Male,No,Yes,Between 3 to 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Car/truck/Van as DRIVER,"$60,000 to $79,999",University undergraduate degree,Yes,T5K,25-29
02/10/2015 04:41:00 PM,02/10/2015 04:50:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Only have one mode of transportation,"$50,000 to $59,999",High school graduate,No,T5Y,70-74
02/10/2015 04:03:00 PM,02/10/2015 04:19:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$40,000 to $49,999",Post-graduate degree,No,T6J,35-39
02/13/2015 11:18:00 PM,02/13/2015 11:28:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Car/truck/Van as DRIVER,"$100,000 to $149,000",University undergraduate degree,No,T5K,50-54
02/17/2015 10:14:00 AM,02/17/2015 10:30:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,,,,,,,,,,,,,,,,Did not answer
02/10/2015 04:05:00 PM,02/10/2015 04:16:00 PM,Residential property,I don't recall,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",Post-graduate degree,No,T5X,50-54
02/11/2015 12:11:00 AM,02/11/2015 12:18:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Other (Specify),"$150,000 and over",University undergraduate degree,No,T5X,55-59
02/10/2015 04:07:00 PM,02/10/2015 04:15:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Phone,Safari,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$100,000 to $149,000",Post-graduate degree,No,T6R,40-44
02/13/2015 02:05:00 PM,02/13/2015 02:17:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/van as PASSENGER,Public Transit,"$100,000 to $149,000",Post-graduate degree,No,T6H,45-49
02/13/2015 11:14:00 AM,02/13/2015 11:25:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$100,000 to $149,000",College / technical school graduate,No,T6R,55-59
02/10/2015 04:08:00 PM,02/10/2015 04:18:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Bicycle,Walk,"$100,000 to $149,000",University undergraduate degree,Yes,T5M,25-29
02/10/2015 08:50:00 PM,02/10/2015 09:05:00 PM,Residential property,Within the last 3 months,4 Somewhat Agree,2 Somewhat Disagree,3 Neither,4 Somewhat Agree,4 Somewhat Agree,4 Somewhat Agree,Don't know,Mac (OS X),Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,Yes,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",University undergraduate degree,No,T6J,30-34
02/12/2015 10:44:00 AM,02/12/2015 11:00:00 AM,Residential property,Within the last 3 months,5 Strongly Agree,5 Strongly Agree,3 Neither,5 Strongly Agree,3 Neither,3 Neither,Positive,Mac (OS X),Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/van as PASSENGER,Car/truck/Van as DRIVER,"$150,000 and over",Post-graduate degree,No,T5H,50-54
02/10/2015 04:28:00 PM,02/10/2015 04:33:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/Van as DRIVER,"$100,000 to $149,000",University undergraduate degree,No,T6W,30-34
02/11/2015 01:05:00 PM,02/12/2015 11:53:00 AM,Residential property,I don't recall,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$150,000 and over",Post-graduate degree,No,T6G,35-39
02/10/2015 05:51:00 PM,02/10/2015 06:02:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",Post-graduate degree,No,T6R,30-34
02/10/2015 07:22:00 PM,02/11/2015 01:39:00 PM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Safari,Rent,Male,No,Yes,Greater than 5 years,No,English,Post-secondary student,Yes,Public Transit,Walk,"$30,000 to $39,999",University undergraduate degree,No,T5K,25-29
02/16/2015 02:43:00 PM,02/16/2015 02:52:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Homemaker,Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",High school graduate,No,T6A,40-44
02/11/2015 08:15:00 AM,02/11/2015 08:26:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Car/truck/Van as DRIVER,"$100,000 to $149,000",College / technical school graduate,Yes,T5K,35-39
02/11/2015 09:08:00 PM,02/11/2015 09:20:00 PM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Walk,"$30,000 to $39,999",University undergraduate degree,No,T5J,25-29
02/10/2015 04:05:00 PM,02/10/2015 04:22:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,No,Greater than 5 years,Yes,English,Employed part-time (0-30 hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,"$100,000 to $149,000","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T5H,55-59
02/11/2015 10:40:00 AM,02/11/2015 10:47:00 AM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Male,No,Yes,Between 3 to 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,"$60,000 to $79,999",University undergraduate degree,Yes,T6E,18-24
02/17/2015 10:30:00 PM,02/17/2015 10:44:00 PM,Residential property,Within the last 3 months,5 Strongly Agree,4 Somewhat Agree,4 Somewhat Agree,5 Strongly Agree,4 Somewhat Agree,4 Somewhat Agree,Positive,Windows,Desktop,Firefox,Own,Female,No,No,Between 3 to 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Public Transit,Prefer not to answer,College / technical school graduate,No,T6B,75-79
02/12/2015 10:15:00 AM,02/12/2015 10:23:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Firefox,Own,I prefer not to answer,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Bicycle,Walk,"$100,000 to $149,000",Post-graduate degree,No,T6E,55-59
02/16/2015 01:31:00 PM,02/16/2015 01:43:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over",Post-graduate degree,No,T5P,50-54
02/11/2015 09:15:00 AM,02/11/2015 09:21:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,Prefer not to answer,High school graduate,No,T5X,55-59
02/15/2015 08:45:00 PM,02/15/2015 08:58:00 PM,Residential property,Within the last year,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,Positive,Windows,Desktop,Firefox,Own,I prefer not to answer,No,Yes,Greater than 5 years,Yes,English,Retired,Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",High school graduate,No,T5H,55-59
02/10/2015 05:22:00 PM,02/10/2015 05:28:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Android,Phone,Android,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$50,000 to $59,999",College / technical school graduate,No,T6K,50-54
02/10/2015 06:24:00 PM,02/10/2015 06:33:00 PM,I don’t own property,,,,,,,,,Android,Phone,Android,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),No,Public Transit,Car/truck/van as PASSENGER,"Under $20,000",High school graduate,No,T6K,18-24
02/10/2015 04:09:00 PM,02/10/2015 04:17:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Walk,"$60,000 to $79,999",University undergraduate degree,No,T6H,60-64
02/11/2015 07:40:00 AM,02/11/2015 07:49:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",High school graduate,No,T6B,40-44
02/11/2015 07:14:00 PM,02/11/2015 07:26:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Public Transit,"$80,000 to $99,999",High school graduate,No,T5X,55-59
02/13/2015 03:06:00 PM,02/13/2015 03:22:00 PM,Residential property,Within the last year,4 Somewhat Agree,2 Somewhat Disagree,2 Somewhat Disagree,2 Somewhat Disagree,1 Strongly Disagree,2 Somewhat Disagree,Negative,iOS,Tablet,Did not answer,Own,I prefer not to answer,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Public Transit,Prefer not to answer,College / technical school graduate,Yes,T5W,55-59
02/10/2015 04:19:00 PM,02/10/2015 04:33:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,Yes,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$60,000 to $79,999",University undergraduate degree,No,T5Y,60-64
02/11/2015 02:52:00 PM,02/11/2015 02:59:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,Yes,English,Retired,No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$40,000 to $49,999",University undergraduate degree,No,T6H,50-54
02/13/2015 10:34:00 PM,02/13/2015 10:53:00 PM,I don’t own property,,,,,,,,,iOS,Tablet,Safari,Rent,Female,No,Yes,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Public Transit,"$30,000 to $39,999",College / technical school graduate,No,T5A,60-64
02/10/2015 08:20:00 PM,02/10/2015 08:37:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Internet Explorer,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Bicycle,"$80,000 to $99,999",University undergraduate degree,Yes,T5K,70-74
02/16/2015 11:53:00 AM,02/16/2015 12:16:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Female,No,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),No,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",College / technical school graduate,No,T6E,50-54
02/11/2015 09:59:00 AM,02/11/2015 10:10:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Female,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Public Transit,"$40,000 to $49,999",University undergraduate degree,No,T6J,75-79
02/10/2015 06:04:00 PM,02/10/2015 06:13:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,No,No,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,Prefer not to answer,"Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T6H,65-69
02/14/2015 10:14:00 AM,02/14/2015 10:34:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Unknown,Phone,Unknown,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Walk,"$150,000 and over",College / technical school graduate,No,T6G,40-44
02/10/2015 05:28:00 PM,02/10/2015 05:45:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Android,Phone,Android,Own,Male,No,Yes,Greater than 5 years,No,English,Unemployed,No,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",College / technical school graduate,No,T6H,45-49
02/11/2015 04:33:00 PM,02/11/2015 04:49:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",College / technical school graduate,No,T6T,40-44
02/11/2015 10:43:00 AM,02/11/2015 11:18:00 AM,Residential property,I don't recall,,,,,,,,Windows,Desktop,Google Chrome,,Male,No,No,,No,English,Retired,No,Car/truck/Van as DRIVER,Public Transit,"$30,000 to $39,999",High school graduate,No,,65-69
02/10/2015 09:40:00 PM,02/10/2015 09:47:00 PM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T5E,50-54
02/10/2015 07:31:00 PM,02/10/2015 07:38:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,Prefer not to answer,Post-graduate degree,No,T6J,65-69
02/11/2015 01:58:00 PM,02/11/2015 02:20:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Public Transit,Bicycle,"$50,000 to $59,999",University undergraduate degree,No,T6C,25-29
02/10/2015 04:14:00 PM,02/13/2015 08:03:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",Post-graduate degree,Yes,T6L,50-54
02/10/2015 08:52:00 PM,02/10/2015 08:58:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",High school graduate,No,T5W,55-59
02/11/2015 11:18:00 AM,02/11/2015 11:24:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",High school graduate,No,T6H,60-64
02/10/2015 04:40:00 PM,02/10/2015 04:49:00 PM,Residential property,I don't recall,,,,,,,,iOS,Phone,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Only have one mode of transportation,"Under $20,000",High school graduate,No,T6W,65-69
02/10/2015 05:17:00 PM,02/10/2015 05:33:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Homemaker,Yes,Car/truck/van as PASSENGER,Walk,"$150,000 and over",High school graduate,No,T5H,65-69
02/10/2015 05:05:00 PM,02/10/2015 05:11:00 PM,Residential property,I don't recall,,,,,,,,Mac (OS X),Desktop,Safari,Own,Male,No,No,Greater than 5 years,No,English,Retired,No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,Prefer not to answer,College / technical school graduate,No,T6X,60-64
02/16/2015 09:18:00 PM,02/16/2015 09:31:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,I prefer not to answer,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,Prefer not to answer,University undergraduate degree,No,T5T,55-59
02/13/2015 05:20:00 PM,02/13/2015 05:32:00 PM,Residential property,I don't recall,,,,,,,,Android,Phone,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,Yes,English,Other (Specify),Yes,Car/truck/Van as DRIVER,Public Transit,"$30,000 to $39,999",College / technical school graduate,No,T5A,35-39
02/10/2015 04:55:00 PM,02/10/2015 05:03:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",University undergraduate degree,No,T6L,40-44
02/10/2015 04:35:00 PM,02/10/2015 04:44:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed part-time (0-30 hours a week),No,Car/truck/Van as DRIVER,Bicycle,"$100,000 to $149,000",Post-graduate degree,No,T6G,70-74
02/11/2015 02:45:00 PM,02/11/2015 02:50:00 PM,Residential property,Within the last year,4 Somewhat Agree,1 Strongly Disagree,2 Somewhat Disagree,4 Somewhat Agree,1 Strongly Disagree,2 Somewhat Disagree,Negative,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",High school graduate,No,T5L,50-54
